"","logFC","logCPM","PValue","FDR"
"AT2G35760",2.00797471185987,3.81798105523829,1.84237673167244e-17,1.89583710416888e-16
"AT5G64430",-2.06886334156283,3.47606320710705,2.04975883590751e-17,2.10799610165712e-16
"AT3G11340",4.32866686327699,0.554321843742524,2.22452050040703e-17,2.2863781251391e-16
"AT4G13560",-2.04262423516283,3.61661935214083,2.25408308255457e-17,2.31540155888963e-16
"AT3G54720",-2.18341675227675,2.99744469033463,2.28644703253253e-17,2.3472667921178e-16
"AT3G22150",-1.85412574818308,5.48093060595713,2.29735233944197e-17,2.3570781074216e-16
"AT2G22560",2.04040116784627,3.55168796039201,2.36789449417114e-17,2.42802929276211e-16
"AT1G48480",-1.82822527717009,5.85525416764511,2.44311450475427e-17,2.50369114224027e-16
"AT3G18900",-3.09442802348717,1.31160200890409,2.49346223854681e-17,2.55379029387896e-16
"AT3G06590",-2.00280795520782,3.84564894605733,2.5007301434069e-17,2.55973449046737e-16
"AT1G62540",1.96651976048462,4.03344049296725,2.68119627156727e-17,2.74285280373379e-16
"AT1G11925",6.12249469685859,0.129227713175838,2.68426505512881e-17,2.74438631338111e-16
"AT4G10040",1.9424193509951,4.23117081835684,2.83073265986206e-17,2.8924429627334e-16
"AT1G80450",2.52066257262553,2.01960132483122,2.85816346713754e-17,2.9187658817737e-16
"AT1G61210",1.83673755567938,5.72716377368958,2.87791093315658e-17,2.93721639488479e-16
"AT2G46030",-2.01323444178778,3.72108075328863,2.88302109363381e-17,2.94071515635939e-16
"AT5G67385",-1.81055059157021,6.33418269503691,2.93473063815695e-17,2.99171403772e-16
"AT3G28130",-2.03597241042171,3.61028886876678,3.00771605014527e-17,3.06432981962061e-16
"AT5G64340",-1.84186813347183,5.58065648111167,3.03296244378647e-17,3.08825174168426e-16
"AT3G21870",-2.75019061455911,1.68360240934064,3.1174939667301e-17,3.17247654367534e-16
"AT1G03495",4.12933430461747,0.620485538362816,3.15229025749099e-17,3.20602039393339e-16
"AT5G61010",1.81672886086129,5.96851826609314,3.15523491057194e-17,3.20714953148426e-16
"AT2G01760",-2.06935446677036,3.40885960624983,3.2202448838137e-17,3.27132721113974e-16
"AT5G38980",-1.79229059897443,7.07918519607259,3.56309566687693e-17,3.61751460766605e-16
"AT5G18630",-2.06375135973942,3.41424024884944,3.6294572903859e-17,3.68275112059296e-16
